CourseCode,ShortTitle,LongTitle,BeginTime,EndTime,Meets,Building,Room,Enrollment,Capacity
BUSA 204  B,PRIN OF MARKET,PRINCIPLES OF MARKETING,11:00:00,11:50:00,MWF,HAL,314,34,40
BUSA 204  C,PRIN OF MARKET,PRINCIPLES OF MARKETING,14:00:00,14:50:00,MWF,HAL,316,33,39
BUSA 211  A,BUS COMP APP,BUSINESS COMPUTER APPLICATIONS,13:00:00,13:50:00,MWF,HAL,216,30,36
BUSA 211  B,BUS COMP APP,BUSINESS COMPUTER APPLICATIONS,14:00:00,14:50:00,MWF,HAL,216,28,33
BUSA 211  C,BUS COMP APP,BUSINESS COMPUTER APPLICATIONS,15:00:00,15:50:00,MWF,HAL,216,24,28
BUSA 214  A,BUS/ETHICS/SOC,"BUSINESS, ETHICS, & SOCIETY",8:00:00,8:50:00,MWF,HAL,301,23,27
BUSA 214  B,BUS/ETHICS/SOC,"BUSINESS, ETHICS, & SOCIETY",9:00:00,9:50:00,MWF,HAL,301,23,27
BUSA 214  C,BUS/ETHICS/SOC,"BUSINESS, ETHICS, & SOCIETY",13:00:00,13:50:00,MWF,HAL,316,23,23
BUSA 301  A,PRIN OF FINANCE,PRINCIPLES OF FINANCE,8:00:00,8:50:00,MWF,HAL,314,27,27
BUSA 301  B,PRIN OF FINANCE,PRINCIPLES OF FINANCE,9:00:00,9:50:00,MWF,HAL,314,30,36
BUSA 301  C,PRIN OF FINANCE,PRINCIPLES OF FINANCE,11:00:00,11:50:00,MWF,HAL,312,33,39
BUSA 302  A,LEAN MANAGEMENT,LEAN MANAGEMENT,10:00:00,10:50:00,MWF,HAL,316,36,43
BUSA 303  A,BUS LAW,BUSINESS LAW,10:05:00,11:20:00,TR,HAL,302,30,30
BUSA 303  B,BUS LAW,BUSINESS LAW,11:30:00,12:45:00,TR,HAL,302,29,29
BUSA 304  A,LEGAL ENV BUS,LEGAL ENVIRONMENT OF BUSINESS,8:00:00,8:50:00,MWF,HAL,302,14,16
BUSA 305  A,GLOBAL BUS ISS,GLOBAL BUSINESS ISSUES,13:00:00,13:50:00,MWF,HAL,111,23,27
BUSA 305  B,GLOBAL BUS ISS,GLOBAL BUSINESS ISSUES,14:00:00,14:50:00,MWF,HAL,111,21,25
BUSA 315  A,DIGITAL MARKET,DIGITAL MARKETING,18:30:00,21:00:00,M,HAL,304,25,30
BUSA 330  A,SEARCH ENGINE,SEARCH ENGINE OPTIMIZATION,10:00:00,10:50:00,MWF,HAL,214,15,15
BUSA 390  A,STDY: FIN MODEL,STUDY: FINANCIAL MODELLING,11:30:00,12:45:00,TR,HAL,316,11,13
BUSA 390  B,STDY: ANALYTICS,STUDY: BUSINESS ANALYTICS DEC MAKNG,14:00:00,14:50:00,MWF,HAL,114,12,14
BUSA 408  A,SOCI ENTR PRAC,SOCIAL ENTREPRENUERSHIP PRACTICUM,14:30:00,15:45:00,TR,HAL,209,3,3
BUSA 412  A,RETAIL MGM,RETAIL MANAGEMENT,11:00:00,11:50:00,MWF,HAL,204,25,30
BUSA 415  A,STRATEGIC MARKE,STRATEGIC MARKETING,10:05:00,11:20:00,TR,HAL,111,19,19
BUSA 417  A,NEW PRODUCT,NEW PRODUCT DEVELOPMENT AND MGMT,13:00:00,14:15:00,TR,HAL,216,18,21
BUSA 419  A,CONSUM BEHAVIOR,CONSUMER BEHAVIOR,8:00:00,9:15:00,TR,HAL,316,20,20
BUSA 419  B,CONSUMER BEHAVI,CONSUMER BEHAVIOR,11:30:00,12:45:00,TR,HAL,312,24,28
BUSA 432  A,INVESTMENTS,INVESTMENTS,12:00:00,12:50:00,MWF,HAL,314,18,18
BUSA 433  A,RISK/INSURANCE,RISK AND INSURANCE,13:00:00,14:15:00,TR,HAL,214,31,37
BUSA 435  A,FINANCIAL PLAN,FINANCIAL PLANNING,18:30:00,21:00:00,M,HAL,216,19,19
BUSA 440  A,ADV CORP FIN,ADVANCED CORPORATE FINANCE,8:00:00,9:15:00,TR,HAL,209,7,8
BUSA 440  A,FINANCIAL POLIC,ADVANCED CORPORATE FINANCE,8:00:00,9:15:00,TR,HAL,209,4,4
BUSA 440  B,ADV CORP FIN,ADVANCED CORPORATE FINANCE,11:30:00,12:45:00,TR,HAL,209,5,6
BUSA 440  B,FINANCIAL POLIC,ADVANCED CORPORATE FINANCE,11:30:00,12:45:00,TR,HAL,209,11,13
